une	motor	hurdnii_hairtsag	hurd	turul	ungu	uild_on	orj_on	hudulguur	dotor_ungu	leasing	hutlugchn	kilo	nuhtsul	haalga
59	2.0	Автомат	Буруу	Суудлын тэрэг	Улаан	2015	2024	Бензин	Хар	Банкны лизингтэй	Хойноо RWD	96000	Дугаар аваагүй	5
40	3.5	Автомат	Зөв	Суудлын тэрэг	Саарал	2012	2020	Бензин	Хар	ББСБ лизингтэй	Хойноо RWD	170000	Дугаар авсан	5
198	5.5	Автомат	Зөв	Жийп	Хар	2015	2015	Бензин	Бор	Лизинггүй	Бүх дугуй 4WD	130	Дугаар авсан	5
43	1.6	Автомат	Буруу	Суудлын тэрэг	Хүрэн	2014	2021	Бензин	Хар	Лизинггүй	Урдаа FWD	103000	Дугаар авсан	5
58	3.5	Автомат	Зөв	Суудлын тэрэг	Цагаан	2009	2023	Хайбрид	Хар	Банкны лизингтэй	Хойноо RWD	111000	Дугаар аваагүй	4
55	2.0	Автомат	Буруу	Суудлын тэрэг	Хар	2015	2022	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	150000	Дугаар авсан	5
220	4.0	Автомат	Зөв	Жийп	Цагаан	2018	2018	Бензин	Бусад	Лизинггүй	Бүх дугуй 4WD	50000	Дугаар авсан	5
118	5.5	Автомат	Зөв	Жийп	Хар	2010	2012	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	110000	Дугаар авсан	5
47	3.5	Автомат	Зөв	Суудлын тэрэг	Саарал	2013	2020	Бензин	Хар	Лизинггүй	Хойноо RWD	68000	Дугаар авсан	4
228	5.5	Автомат	Зөв	Жийп	Цагаан	2015	2019	Бензин	Бор	Банкны лизингтэй	Бүх дугуй 4WD	96000	Дугаар аваагүй	5
175	2.0	Автомат	Зөв	Жийп	Цагаан	2021	2024	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	8000	Дугаар авсан	4
26.5	1.8	Автомат	Буруу	Суудлын тэрэг	Цагаан	2011	2021	Бензин	Хар	Банкны лизингтэй	Хойноо RWD	56000	Дугаар авсан	5
265	2.0	Автомат	Зөв	Жийп	Хар саарал	2020	2023	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	50055	Дугаар авсан	5
