une	motor	hurdnii_hairtsag	hurd	turul	ungu	uild_on	orj_on	hudulguur	dotor_ungu	leasing	hutlugchn	kilo	nuhtsul	haalga
40	3.5	Автомат	Зөв	Суудлын тэрэг	Саарал	2012	2020	Бензин	Хар	ББСБ лизингтэй	Хойноо RWD	170000	Дугаар авсан	5
198	5.5	Автомат	Зөв	Жийп	Хар	2015	2015	Бензин	Бор	Лизинггүй	Бүх дугуй 4WD	130	Дугаар авсан	5
43	1.6	Автомат	Буруу	Суудлын тэрэг	Хүрэн	2014	2021	Бензин	Хар	Лизинггүй	Урдаа FWD	103000	Дугаар авсан	5
58	3.5	Автомат	Зөв	Суудлын тэрэг	Цагаан	2009	2023	Хайбрид	Хар	Банкны лизингтэй	Хойноо RWD	111000	Дугаар аваагүй	4
55	2.0	Автомат	Буруу	Суудлын тэрэг	Хар	2015	2022	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	150000	Дугаар авсан	5
220	4.0	Автомат	Зөв	Жийп	Цагаан	2018	2018	Бензин	Бусад	Лизинггүй	Бүх дугуй 4WD	50000	Дугаар авсан	5
118	5.5	Автомат	Зөв	Жийп	Хар	2010	2012	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	110000	Дугаар авсан	5
47	3.5	Автомат	Зөв	Суудлын тэрэг	Саарал	2013	2020	Бензин	Хар	Лизинггүй	Хойноо RWD	68000	Дугаар авсан	4
228	5.5	Автомат	Зөв	Жийп	Цагаан	2015	2019	Бензин	Бор	Банкны лизингтэй	Бүх дугуй 4WD	96000	Дугаар аваагүй	5
175	2.0	Автомат	Зөв	Жийп	Цагаан	2021	2024	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	8000	Дугаар авсан	4
26.5	1.8	Автомат	Буруу	Суудлын тэрэг	Цагаан	2011	2021	Бензин	Хар	Банкны лизингтэй	Хойноо RWD	56000	Дугаар авсан	5
265	2.0	Автомат	Зөв	Жийп	Хар саарал	2020	2023	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	50055	Дугаар авсан	5
29.8	2.0	Автомат	Зөв	Суудлын тэрэг	Хар	2010	2020	Бензин	Хар	Лизинггүй	Урдаа FWD	118000	Дугаар авсан	5
250	2.0	Автомат	Зөв	Жийп	Саарал	2020	2024	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	70000	Дугаар аваагүй	4
79	5.0	Автомат	Зөв	Жийп	Хар	2008	2011	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	150	Дугаар авсан	5
33	2.2	Автомат	Зөв	Гэр бүлийн	Хар	2007	2012	Дизель	Хар	Лизинггүй	Хойноо RWD	66000	Дугаар авсан	4
50	5.0	Автомат	Зөв	Жийп	Хар	2003	2012	Бензин	Хар	Лизинггүй	Бүх дугуй 4WD	100000	Дугаар авсан	5
114	2.0	Автомат	Зөв	Суудлын тэрэг	Саарал	2016	2024	Бензин	Бор	ББСБ лизингтэй	Бүх дугуй 4WD	32000	Дугаар авсан	5
128	2.0	Автомат	Зөв	Суудлын тэрэг	Цагаан	2016	2024	Бензин	Бор	ББСБ лизингтэй	Бүх дугуй 4WD	53000	Дугаар аваагүй	5
125	5.0	Автомат	Зөв	Суудлын тэрэг	Хар	2014	2019	Бензин	Хар	ББСБ лизингтэй	Бүх дугуй 4WD	68278	Дугаар авсан	4
450	4.0	Автомат	Зөв	Суудлын тэрэг	Хар	2018	2024	Бензин	Цагаан шар	Лизинггүй	Бүх дугуй 4WD	29200	Дугаар аваагүй	4
